DATE,Construction,Legal,CustomerService,Architecture,Community_SocialService,ScientificResearch_Development,Security_PublicSafety,Driving,LogisticsSupport,Dental,Admininstrative,Productions_Manufacturing,Loading_Stocking,Childcare,Nursing,Insurance,MedicalTechnician,Marketing,ITOperations_Helpdesk,Installation_Maintenance,MedicalInformation,Retail,IndustrialEngineering,ProjectManagement,Accounting,Mathematics,Banking_Finance,PersonalCare_HomeHealth,Sports,CilvilEngineering,Management,Media_Communication,ElectricalEngineering,Education_Instruction,InformationDesign_Documentation,Hospitality_Tourism,FoodPreparation_Service,HumanResource,Therapy,Beauty_Wellness,Veterinary,Physicians_Surgeons,Cleaning_Sanitation,SoftwareDevelopment,Sales,Arts_Entertainment,Average,Sum
2020-02-01,3.871,0.6452,5.1613,0.6452,1.2903,1.2903,3.2258,3.871,3.871,1.2903,100.0,4.5161,2.5806,1.9355,3.871,1.9355,1.9355,1.9355,2.5806,3.2258,0.6452,5.1613,1.2903,1.2903,1.2903,0.6452,1.2903,2.5806,0.6452,100.0,2.5806,1.2903,1.2903,2.5806,0.6452,3.2258,3.871,1.2903,1.2903,1.2903,0.6452,1.2903,2.5806,1.9355,3.871,0.6452,6.409536956521736,294.83869999999985
2020-02-02,3.8528063,0.6448774,5.163880649999999,0.64474836,1.2908161200000001,1.29042903,3.22031614,3.8473869,3.8559031,1.29326769,99.87,4.5075194100000004,2.57440656,1.9246612,3.8648064000000004,1.9401452,1.93569355,1.9355,2.57776134,3.22547742,0.64565164,5.14375158,1.2887516399999999,1.2897838799999999,1.28823552,0.64403864,1.29171933,2.58653538,0.6439741200000001,99.91,2.58498702,1.28746134,1.29017097,2.58524508,0.6427482400000001,3.22612258,3.863258,1.2866871599999998,1.29068709,1.2879774599999998,0.6445548000000001,1.2931386599999999,2.5775032799999997,1.93066125,3.8644193000000002,0.64236112,6.401974518478258,294.49082784999985
2020-02-03,3.8388707,0.64474836,5.17110647,0.6444902800000001,1.2921064199999999,1.29055806,3.2145097000000002,3.8260964000000004,3.8396449,1.2958482900000001,99.91,4.5025517,2.57105178,1.9142095000000001,3.8601612000000003,1.9455646,1.93685485,1.9362742000000002,2.5759549199999996,3.2296709600000004,0.6464904,5.11691282,1.2869452199999998,1.28965485,1.28617104,0.64184496,1.2923644799999998,2.59272882,0.64255468,99.92,2.58911598,1.28436462,1.28965485,2.58911598,0.64158688,3.22644516,3.8582257,1.2864290999999999,1.29042903,1.28630007,0.6445548000000001,1.29559023,2.57776134,1.92679025,3.8597741,0.6399093600000001,6.400912782826084,294.4419880099999
2020-02-04,3.8241609000000003,0.64494192,5.17936455,0.6439741200000001,1.2931386599999999,1.29094515,3.20838068,3.8125478999999998,3.8218383000000005,1.2988159799999999,99.85,4.50119687,2.57001954,1.91362885,3.8586128000000004,1.9507904500000002,1.9374354999999999,1.9372419500000002,2.57234208,3.2338645,0.6468130000000001,5.11071926,1.28359044,1.2887516399999999,1.28397753,0.6404255200000001,1.29094515,2.60150286,0.6409416800000001,99.98,2.59324494,1.2807517800000001,1.28952582,2.5960835999999996,0.6400384,3.2309612800000003,3.851645,1.2869452199999998,1.28849358,1.2864290999999999,0.6443612400000001,1.29559023,2.5762129799999998,1.9219515,3.8574515000000003,0.63694144,6.399729030217391,294.38753539
2020-02-05,3.8156447,0.6445548000000001,5.18968715,0.6443612400000001,1.2930096299999998,1.29133224,3.2016065,3.7668701,3.812935,1.30100949,99.83,4.5030033099999995,2.57053566,1.91401595,3.8555159999999997,1.95853245,1.9362742000000002,1.9389839000000002,2.57208402,3.2412838400000004,0.64694204,5.10607409,1.2825582,1.28823552,1.28346141,0.6398448400000001,1.2927515699999998,2.60872854,0.64074812,100.07,2.5999545,1.28049372,1.2897838799999999,2.6025351,0.6390706,3.24386448,3.8469998,1.2883645499999998,1.28320335,1.27494543,0.64623232,1.2977837399999999,2.5746646199999996,1.9205966500000002,3.8562902,0.63532844,6.400449910652176,294.4206958900001
2020-02-06,3.8055801000000002,0.6439096,5.20104201,0.64474836,1.29352575,1.29146127,3.19257426,3.7269988,3.8024833000000005,1.30294494,99.89,4.5025517,2.57492268,1.9147901500000002,3.8578386,1.9614357000000002,1.9366613000000001,1.94072585,2.57130984,3.24805802,0.64707108,5.0942031,1.28113887,1.2877193999999998,1.28436462,0.6398448400000001,1.29352575,2.61466392,0.6400384,100.12,2.60718018,1.28178402,1.29004194,2.60847048,0.63797376,3.24870318,3.8442901000000003,1.28939679,1.28281626,1.2736551299999999,0.65223268,1.2998482199999999,2.57311626,1.91866115,3.8547418,0.63410256,6.402242319999999,294.50314671999996
2020-02-07,3.7966768,0.64300632,5.20052588,0.6434579600000001,1.29404187,1.29223545,3.18354202,3.6991276,3.7877735,1.3028159099999999,99.9,4.50345492,2.57518074,1.9142095000000001,3.8566773,1.9647260500000001,1.9366613000000001,1.9422742499999999,2.5695034199999998,3.24160642,0.6473936800000001,5.08026759,1.27971954,1.28681619,1.2826872299999998,0.6408771600000001,1.2931386599999999,2.62472826,0.63926416,100.06,2.60305122,1.2830743199999999,1.28991291,2.61337362,0.63694144,3.23450966,3.8392578000000004,1.28939679,1.2813969299999999,1.2713325899999999,0.6577814000000001,1.30100949,2.57079372,1.9165321,3.8520321,0.63352188,6.399050166304347,294.35630764999996
2020-02-08,3.7916445000000003,0.64313536,5.21033235,0.6432644000000001,1.29391284,1.2923644799999998,3.1806388,3.6611918,3.7749992,1.3024288199999998,100.06,4.50616458,2.59014822,1.9124675500000001,3.8570644,1.9676293,1.9370484000000001,1.9463388000000001,2.5695034199999998,3.2419290000000003,0.6477808,5.0807837199999994,1.28049372,1.28759037,1.29146127,0.6429418000000001,1.29559023,2.6335023,0.63816732,100.1,2.60279316,1.28630007,1.2921064199999999,2.6182767599999996,0.63719952,3.22128388,3.8326771,1.29133224,1.27842924,1.2686229599999999,0.6606848000000001,1.30139658,2.56976148,1.91866115,3.8539676000000003,0.63436064,6.403225464130435,294.54837135
2020-02-09,3.7866122,0.6426192,5.21342913,0.64281276,1.29223545,1.2921064199999999,3.17450978,3.6460949,3.758741,1.29868695,100.17,4.5075194100000004,2.59659972,1.9093707500000001,3.8562902,1.9695648000000001,1.93685485,1.9492420499999998,2.56924536,3.2412838400000004,0.6477808,5.0792353299999995,1.28088081,1.2873323099999998,1.29391284,0.6448774,1.29468702,2.63814738,0.63732856,100.17,2.60227704,1.28952582,1.29404187,2.62034124,0.63726404,3.20773552,3.8249351000000003,1.29184836,1.27494543,1.2661713899999998,0.66274944,1.30088046,2.56718088,1.9204031000000001,3.8559031,0.63532844,6.406076792391304,294.67953245
2020-02-10,3.7761605,0.641974,5.2180743,0.64242564,1.29133224,1.29133224,3.17128398,3.6368045,3.7420957,1.29533217,100.31,4.50887424,2.60356734,1.9060804000000002,3.8555159999999997,1.9722745000000002,1.9370484000000001,1.954855,2.56924536,3.23902578,0.6477808,5.092138579999999,1.2816549899999998,1.28784843,1.29752568,0.6484905200000001,1.3038481499999999,2.64305052,0.63719952,100.25,2.60279316,1.29404187,1.2967515,2.62266378,0.63784472,3.19644522,3.8171931,1.2930096299999998,1.27171968,1.2632037,0.6647495600000001,1.30088046,2.56305192,1.9227257000000002,3.8570644,0.63668336,6.410731766086956,294.89366124
